0,no,pens,
1,no,female,
2,no,stands,
3,no,organ,
4,yes,fruits,
5,yes,shops,
6,yes,fruit,
7,yes,wildlife,
8,no,eating,
9,yes,gourmet,
10,yes,keyboard,
11,yes,coral,
12,yes,dog,
13,no,macro,
14,no,macro,
15,yes,fence,
16,yes,fruit,
17,no,regard,
18,no,stripes,
19,yes,aquarium,
20,yes,costumes,
21,yes,boats,
22,no,armor,
23,yes,birds,
24,no,infants,
25,yes,shops,
26,no,mating,
27,yes,keyboard,
28,yes,stage,
29,yes,green,
30,no,grounds,
31,no,web,
32,no,font,
33,no,pens,
34,no,keyboard,
35,yes,piano,
36,no,manufacturer,
37,yes,mileage,
38,no,raid,
39,yes,equipment,
40,no,cpu,
41,no,mating,
42,yes,mesh,
43,yes,exterior,
44,yes,dog,
45,no,ordered,
46,maybe,bw,
47,no,dog,
48,yes,textiles,
49,yes,neon,
50,yes,dog,
51,no,valves,
52,no,flower,
53,no,cabinet,
54,no,hardwood,
55,yes,fence,
56,no,particles,
57,no,workstation,
58,no,infants,
59,no,wheel,
60,no,juvenile,
61,no,kernel,
62,no,texture,
63,no,net,
64,no,keyboard,
65,yes,tiles,
66,yes,wildlife,
67,no,infrastructure,
68,yes,cage,
69,no,coat,
70,no,spots,
71,yes,vegetation,
72,yes,fruits,
73,yes,red,
74,no,pendant,
75,no,rug,
76,no,dog,
77,yes,crossword,
78,no,brochure,
79,no,coral,
80,no,wildlife,
81,no,vehicles,
82,yes,mixer,
83,no,roof,
84,yes,knitting,
85,no,manufacturer,
86,no,bottles,
87,yes,prisoners,
88,yes,temple,
89,yes,menu,
90,yes,wildlife,
91,yes,dog,
92,no,plastic,
93,yes,flowers,
94,no,fruits,
95,no,mating,
96,yes,screw,
97,yes,rainbow,
98,no,cabinets,
99,yes,bottles,
100,yes,blue,
101,yes,column,
102,yes,costume,
103,yes,crossword,
104,no,purse,
105,yes,shirt,
106,yes,pens,
107,no,fruits,
108,yes,wildlife,
109,no,label,
110,yes,bottles,
111,yes,orange,
112,no,bureau,
113,yes,textile,
114,no,fur,
115,yes,wildlife,
116,no,clothes,
117,no,antiques,
118,no,cups,
119,yes,jaguar,
120,yes,dog,
121,yes,aquarium,
122,no,handmade,
123,no,bedroom,
124,yes,wildlife,
125,yes,controls,
126,no,ceiling,
127,no,ceiling,
128,no,mating,
129,yes,controls,
130,yes,keyboard,
131,yes,habitat,
132,yes,blue,
133,no,knitting,
134,no,mating,
135,no,mating,
136,no,fruits,
137,yes,verde,
138,yes,patterns,
139,no,stripes,
140,yes,habitat,
141,no,baskets,
142,yes,circles,
143,yes,rocks,
144,yes,dogs,
145,yes,homepage,
146,yes,products,
147,yes,dog,
148,no,led,
149,yes,wildlife,
150,no,head,
151,no,uniform,
152,no,ordered,
153,no,bedroom,
154,no,recorders,
155,no,mesh,
156,yes,pendant,
157,no,juvenile,
158,yes,green,
159,yes,keyboard,
160,no,coral,
161,no,rv,
162,yes,purple,
163,yes,hairy,
164,yes,puppy,
165,yes,outside,
166,yes,flower,
167,no,toolkit,
168,no,puzzle,
169,no,coral,
170,no,web,
171,no,fruits,
172,no,purse,
173,no,seafood,
174,no,bottles,
175,no,pattern,
176,no,disc,
177,yes,prisoner,
178,yes,pink,
179,yes,baseball,
180,no,window,
181,yes,window,
182,no,advertisements,
183,no,bathroom,
184,no,amenities,
185,no,collar,
186,yes,fruit,
187,no,regard,
188,yes,web,
189,no,logitech,
190,no,scales,
