0,yes,pink,
1,maybe,purple,
2,maybe,window,
3,maybe,wheat,
4,yes,grid,
5,yes,aquarium,
6,no,logo,
7,maybe,crossword,
8,yes,green,
9,no,blanket,
10,no,fo,
11,no,stylus,
12,no,quilt,
13,yes,darkness,
14,no,logitech,
15,no,tiles,
16,no,rug,
17,no,knit,
18,no,advertisement,
19,yes,pink,
20,no,recorders,
21,maybe,wildlife,
22,maybe,appliances,
23,no,crafts,
24,maybe,darkness,
25,no,stylus,
26,no,purple,
27,yes,web,
28,maybe,quilt,
29,no,endangered,
30,no,quilt,
31,yes,bw,
32,no,stripes,
33,no,female,
34,no,stripes,
35,yes,aquarium,
36,maybe,candle,
37,no,music,
38,no,diving,
39,yes,aquarium,
40,no,key,
41,yes,darkness,
42,yes,red,
43,no,toolbar,
44,no,juvenile,
45,no,doors,
46,no,juvenile,
47,no,tiles,
48,yes,mesh,
49,no,crossword,
50,no,deck,
51,yes,stripes,
52,no,minimal,
53,no,duck,
54,yes,diving,
55,no,juvenile,
56,yes,stripes,
57,no,knit,
58,no,ordered,
59,yes,aquarium,
60,yes,orange,
61,no,habitat,
62,no,diving,
63,no,organ,
64,no,minimal,
65,yes,aquarium,
66,maybe,corn,
67,no,fabrics,
68,no,stylus,
69,yes,orange,
70,yes,aquarium,
71,yes,grid,
72,no,mesh,
73,yes,green,
74,no,handles,
75,yes,mesh,
76,no,keyboard,
77,yes,homepage,
78,yes,wildlife,
79,no,layout,
80,yes,duck,
81,no,aaa,
82,no,organ,
83,no,led,
84,no,organ,
85,no,baskets,
86,no,menu,
87,no,cursor,
88,no,ordered,
89,yes,wildlife,
90,yes,scuba,
91,no,telecharger,
92,yes,orange,
93,no,candle,
94,yes,grid,
95,no,organ,
96,yes,red,
97,no,housewares,
98,no,stripes,
99,yes,lines,
100,no,telecharger,
101,yes,mesh,
102,no,candle,
103,no,gate,
104,no,radios,
105,yes,darkness,
106,no,instruments,
107,yes,grid,
108,yes,aquarium,
109,no,blanket,
110,yes,pink,
111,yes,keyboard,
112,yes,aquarium,
113,no,organ,
114,no,ui,
115,no,window,
116,no,speaker,
117,yes,darkness,
118,no,blanket,
119,no,windows,
120,no,shark,
121,no,ordered,
122,yes,darkness,
123,no,stylus,
124,no,lights,
125,no,radios,
126,no,window,
127,no,render,
128,no,web,
129,no,rapids,
130,no,screens,
131,no,candle,
132,maybe,darkness,
133,no,reprints,
134,maybe,crossword,
135,no,speed,
136,no,blanket,
137,no,kernel,
138,no,candle,
139,yes,window,
140,yes,patterns,
141,no,organizer,
142,maybe,organ,
143,no,mating,
144,no,orange,
145,no,ordered,
146,no,windows,
147,no,recorders,
148,no,nightlife,
149,no,solar,
150,no,halloween,
151,no,crossword,
152,no,baskets,
153,yes,grid,
154,maybe,brochure,
155,no,instruments,
156,yes,darkness,
157,no,gmt,
158,no,organ,
159,yes,yellow,
160,no,yellow,
161,no,fence,
162,yes,reef,
163,yes,mesh,
164,no,orange,
165,yes,bird,
166,no,keyboard,
167,no,washington,
168,no,speed,
169,no,toolbar,
170,yes,stripes,
171,no,portable,
172,no,roof,
173,no,candle,
174,yes,grid,
175,no,female,
176,no,fence,
177,no,purple,
178,yes,mesh,
179,yes,organ,
180,maybe,screens,
181,no,biodiversity,
182,no,plasma,
183,no,fonts,
184,yes,scuba,
185,no,fence,
186,no,red,
187,no,crossword,
188,no,cursor,
189,yes,purple,
190,yes,darkness,
191,yes,darkness,
192,yes,purple,
193,yes,handmade,
194,no,crossword,
195,no,concrete,
196,no,stylus,
197,no,mating,
198,no,colours,
199,no,texture,
200,no,rows,
201,no,fabrics,
202,yes,windows,
203,yes,wildlife,
204,no,organ,
205,no,rapids,
206,no,antiques,
207,yes,grid,
208,no,textile,
209,no,mesh,
210,no,belkin,
211,no,instrument,
212,no,keyboard,
213,maybe,rug,
214,yes,darkness,
215,no,wildlife,
216,yes,diving,
217,yes,darkness,
218,no,candle,
219,no,aquarium,
220,yes,yellow,
221,yes,mesh,
222,no,candle,
223,yes,scuba,
224,no,lights,
225,no,cursor,
226,yes,orange,
227,no,quilt,
228,yes,orange,
229,no,quilt,
230,yes,menus,
231,yes,bw,
232,no,stylus,
233,yes,wildlife,
234,yes,wildlife,
235,no,candle,
236,no,keyboard,
237,yes,red,
238,no,wildlife,
239,no,yellow,
240,yes,habitat,
241,no,cover,
242,yes,aquarium,
243,no,instruments,
244,no,mating,
245,no,ordered,
246,no,jaguar,
247,no,keyboard,
248,yes,darkness,
249,no,shark,
250,no,sticks,
251,no,belize,
252,no,mating,
253,yes,purple,
254,no,mesh,
255,no,key,
